,#Tile,Base,Mean
84,1102,10,0.06252698561621628
85,1102,11,0.09405299896971542
86,1102,12,0.14462428260897298
87,1102,13,0.1935014688809602
88,1102,14,0.12480175216341394
89,1102,15,0.13826315030416936
90,1102,16,0.1385198607344833
91,1102,17,0.10505460881315543
92,1102,18,0.04687475224235982
93,1102,19,0.07087453960239998
94,1102,20,0.021445550110449574
95,1102,21,0.06841179098416461
96,1102,22,0.0628547754268638
97,1102,23,0.10190216272146557
98,1102,24,0.06882627076107894
99,1102,25,0.12811315482415608
100,1102,26,0.1089682873189517
101,1102,27,0.13840157538293596
102,1102,28,0.09538934081671613
103,1102,29,0.12333767902216408
104,1102,30,0.19079180179282673
105,1102,31,0.16426250140528253
106,1102,32,0.14115693971987753
107,1102,33,0.1521344811705987
108,1102,34,0.04731390664645119
109,1102,35,0.1692883681264874
110,1102,36,0.14813307039990065
111,1102,37,0.11060629655562337
112,1102,38,0.09624152701167787
113,1102,39,0.1360238273088683
114,1102,40,0.08879115017906258
115,1102,41,0.029188061847797542
116,1102,42,0.0967124928992007
117,1102,43,0.11293215302405457
118,1102,44,0.08579114060859894
119,1102,45,0.07558869362069487
120,1102,46,0.09254591620079822
121,1102,47,0.13913309013752695
122,1102,48,0.13635010335280384
123,1102,49,0.04186311434082768
124,1102,50,0.056895059802911874
125,1102,51,0.12404762603601682
126,1102,52,0.11026203187802253
127,1102,53,0.10352335284471081
128,1102,54,-0.001164921575771416
129,1102,55,0.0509049884596493
130,1102,56,0.07440443257199547
131,1102,57,0.10091355648356881
132,1102,58,0.022479334988190658
133,1102,59,0.015621376253754704
134,1102,60,0.08863649910424698
135,1102,61,0.08245000030726146
136,1102,62,-0.00863644175373679
137,1102,63,0.019901847119783156
138,1102,64,-0.03782219136718368
139,1102,65,-0.09433832299070843
140,1102,66,-0.0808816351329753
141,1102,67,-0.07675305805317123
142,1102,68,-0.1045881950406411
143,1102,69,-0.029416694423403555
144,1102,70,-0.07215971511778463
145,1102,71,0.029291080631615785
146,1102,72,-0.06100758129335304
147,1102,73,-0.020711212669233703
148,1102,74,-0.024867239455005574
149,1102,75,-0.056294287016626754
150,1103,1,0.02458233213059202
151,1103,2,0.03372331441758192
152,1103,3,0.03784982856543451
153,1103,4,0.12750124354617753
154,1103,5,0.1503889740655069
155,1103,6,0.11983593825713257
156,1103,7,0.16209103589775964
157,1103,8,0.07957926758973599
158,1103,9,0.09238629947410004
159,1103,10,0.12544294483586071
160,1103,11,0.13513515906327456
161,1103,12,0.14668488634367804
162,1103,13,0.1725113951324886
163,1103,14,0.1026685994988199
164,1103,15,0.177445463267496
165,1103,16,0.11609247151093882
166,1103,17,0.1375610961100051
167,1103,18,0.17294417961790032
168,1103,19,0.11392145689281818
169,1103,20,0.11453963237278941
170,1103,21,0.09571172480784185
171,1103,22,0.04995847702035405
172,1103,23,0.1261309279204994
173,1103,24,0.1280710970765213
174,1103,25,0.02314548281861306
175,1103,26,0.14399083361654164
176,1103,27,0.1498763933980456
177,1103,28,0.1924964717705535
178,1103,29,0.15699232600223212
179,1103,30,0.1364043076908814
180,1103,31,0.1665191098613903
181,1103,32,0.07020807438549781
182,1103,33,0.07002932979901999
183,1103,34,0.09191548985960907
184,1103,35,0.0810421099423948
185,1103,36,0.13772223460524913
186,1103,37,0.15921023712190419
187,1103,38,0.15553592898682922
188,1103,39,0.14912577240072977
189,1103,40,0.1537206109428979
190,1103,41,0.09992941634180852
191,1103,42,0.14757649627640745
192,1103,43,0.087446103435596
193,1103,44,0.08486980875721883
194,1103,45,0.11513434519669374
195,1103,46,0.13403213819209725
196,1103,47,0.16800002652805546
197,1103,48,0.10476928080817771
198,1103,49,0.06853927024928907
199,1103,50,0.04092458320054959
200,1103,51,0.034880017894316495
201,1103,52,0.008355911724450493
202,1103,53,0.0744372451982187
203,1103,54,-0.014352506799312437
204,1103,55,0.02793199617300246
205,1103,56,0.0900297885833865
206,1103,57,0.14151544868357036
207,1103,58,0.0802378046964094
208,1103,59,-0.00288840775558441
209,1103,60,0.09280293280073693
210,1103,61,0.09940157114618842
211,1103,62,0.053439288953406106
212,1103,63,0.04319504975365618
213,1103,64,-0.10021490163936875
214,1103,65,-0.09590221837012791
215,1103,66,-0.07159640416285384
216,1103,67,-0.08608707666815718
217,1103,68,-0.10375349050438842
218,1103,69,-0.07391578374864594
219,1103,70,-0.07446047444803128
220,1103,71,-0.0032570990275004874
221,1103,72,0.01606481993295006
222,1103,73,-0.04354936467206727
223,1103,74,0.044941863553241035
224,1103,75,-0.015943595215752282
225,1104,1,-0.006347331801457301
226,1104,2,0.05269386831460565
227,1104,3,0.10007829443757288
228,1104,4,0.1253440540113786
229,1104,5,0.14516369727370915
230,1104,6,0.09920357026703641
231,1104,7,0.1109029428424293
232,1104,8,0.10497681740442033
233,1104,9,0.11759687593759338
234,1104,10,0.14009838076825076
235,1104,11,0.15877464489263104
236,1104,12,0.14747475964237822
237,1104,13,0.17909930483529024
238,1104,14,0.11637289261213368
239,1104,15,0.1035140355467874
240,1104,16,0.09501109981461298
241,1104,17,0.05976872953031176
242,1104,18,0.11783163564071941
243,1104,19,0.03947864094271836
244,1104,20,-0.01336753404705604
245,1104,21,0.021108879709387907
246,1104,22,0.07465108807009102
247,1104,23,0.06958705103310336
248,1104,24,0.08753519445708946
249,1104,25,0.007394540590333065
250,1104,26,0.13094355060329121
251,1104,27,0.06963919242330263
252,1104,28,0.13342796609367724
253,1104,29,0.07468478974309534
254,1104,30,0.1806097291274611
255,1104,31,0.14306214520767924
256,1104,32,0.11333900141275421
257,1104,33,0.12420744111124549
258,1104,34,0.096632673282663
259,1104,35,0.20445515774725465
260,1104,36,0.19942285361592837
261,1104,37,0.20159359827154333
262,1104,38,0.16562358168265945
263,1104,39,0.17647908724209316
264,1104,40,0.17585768498127408
265,1104,41,0.20647245403877434
266,1104,42,0.14785921882641873
267,1104,43,0.11284585112998258
268,1104,44,0.08288051215707526
269,1104,45,0.08710078149736233
270,1104,46,-0.013480326645741059
271,1104,47,0.08661048859210752
272,1104,48,-0.0021942767010472153
273,1104,49,-0.028912112338488782
274,1104,50,0.004138313484276068
275,1104,51,0.04708153721293229
276,1104,52,0.0330788966096236
277,1104,53,0.08527019302110261
278,1104,54,-0.05739129056085801
279,1104,55,-0.018973143182755337
280,1104,56,-0.011456392590851294
281,1104,57,-0.07644736287861065
282,1104,58,-0.06362547229911542
283,1104,59,-0.08560471672810621
284,1104,60,-0.03364157955205371
285,1104,61,0.029141418979257594
